label,category,cluster,dm,text,id,seq_len,hfer_25
1,mhs_radical,1,5.37473987870156,,,1,0.44931164383888245
1,stormfront_radical,1,6.893304763745478,,,1,0.457939088344574
1,stormfront_radical,1,4.5781689057246675,,,1,0.45546990633010864
1,stormfront_radical,1,5.4001965018302975,,,1,0.4545450210571289
1,stormfront_radical,1,5.598507331067501,,,1,0.456310898065567
1,stormfront_radical,1,6.331792792975005,,,1,0.4299944043159485
1,stormfront_radical,1,6.32192788888337,,,1,0.45015212893486023
1,stormfront_radical,0,11.060278543365174,,,1,0.0678892582654953
1,stormfront_radical,1,6.841614903512354,,,1,0.42790839076042175
1,stormfront_radical,1,5.837231830687837,,,1,0.4498884975910187
1,stormfront_radical,1,4.976223649723532,,,1,0.44987794756889343
1,stormfront_radical,1,6.359855057275574,,,1,0.4526890218257904
1,stormfront_radical,1,6.195742952114081,,,1,0.4546933174133301
1,stormfront_radical,1,4.8178170401286975,,,1,0.44772472977638245
1,stormfront_radical,1,4.663535357952548,,,1,0.4481840431690216
1,stormfront_radical,1,7.053829088108545,,,1,0.43280765414237976
1,stormfront_radical,1,4.859344345588318,,,1,0.4393306374549866
1,stormfront_radical,1,5.338645646228851,,,1,0.4423416256904602
1,stormfront_radical,1,7.273156881426503,,,1,0.4355485737323761
1,stormfront_radical,0,12.713419843250108,,,1,0.07816002517938614
1,stormfront_radical,1,6.688617399851376,,,1,0.4516947269439697
1,stormfront_radical,1,5.731414963019874,,,1,0.4531901180744171
1,stormfront_radical,1,6.398309899530184,,,1,0.4303949475288391
1,stormfront_radical,1,6.831751056971827,,,1,0.4652317464351654
1,stormfront_radical,1,5.740800841394355,,,1,0.4500539004802704
1,stormfront_radical,1,7.55733337257925,,,1,0.4331848919391632
1,stormfront_radical,1,4.887773846215127,,,1,0.4522126317024231
1,stormfront_radical,1,6.190540886083693,,,1,0.4518543481826782
1,stormfront_radical,1,9.156508330978188,,,1,0.4649801254272461
1,stormfront_radical,1,5.023117299846487,,,1,0.4384861886501312
1,stormfront_radical,1,6.6084985428554015,,,1,0.4601038694381714
1,stormfront_radical,0,13.622909537854316,,,1,0.07126079499721527
1,stormfront_radical,1,4.795319804128007,,,1,0.4454443156719208
1,stormfront_radical,1,7.484961068385005,,,1,0.4528733193874359
1,stormfront_radical,1,5.315962637775052,,,1,0.46331843733787537
1,stormfront_radical,1,5.27658745635855,,,1,0.4306819438934326
1,stormfront_radical,1,6.521078086645135,,,1,0.4323257803916931
1,stormfront_radical,1,5.698374960924041,,,1,0.4442010223865509
1,stormfront_radical,1,7.340814628934777,,,1,0.46313485503196716
1,stormfront_radical,1,6.860889873027346,,,1,0.4627451002597809
1,stormfront_radical,1,7.285253008335524,,,1,0.4589594006538391
1,stormfront_radical,1,7.846509315005059,,,1,0.4429892897605896
1,stormfront_radical,0,11.080231919414905,,,1,0.05976637080311775
1,stormfront_radical,1,6.9973640212566215,,,1,0.43602508306503296
1,stormfront_radical,1,5.118381411801178,,,1,0.4528934061527252
1,stormfront_radical,1,5.576995831926627,,,1,0.43618083000183105
1,stormfront_radical,1,5.81191670985338,,,1,0.4624210298061371
1,stormfront_radical,1,7.00368617357719,,,1,0.4347119927406311
1,stormfront_radical,1,5.30444233842655,,,1,0.4450719654560089
1,stormfront_radical,0,13.133267332291865,,,1,0.06613022834062576
1,stormfront_radical,1,6.3365235737803385,,,1,0.4497181177139282
1,stormfront_radical,1,6.192554552596443,,,1,0.4505395293235779
1,stormfront_radical,1,6.434699753881998,,,1,0.4405660629272461
1,stormfront_radical,1,7.98556274746703,,,1,0.4542950987815857
1,stormfront_radical,1,4.677377426553087,,,1,0.43680357933044434
1,stormfront_radical,1,5.984040094392294,,,1,0.46082356572151184
1,stormfront_radical,1,6.663258142021828,,,1,0.4504433870315552
1,stormfront_radical,1,6.590373948865339,,,1,0.4407745897769928
1,stormfront_radical,1,6.332859093794959,,,1,0.4591016173362732
1,stormfront_radical,1,6.131262570214247,,,1,0.4535573422908783
1,stormfront_radical,0,14.129758765441483,,,1,0.07681901752948761
1,stormfront_radical,1,7.528301757489248,,,1,0.44475314021110535
1,stormfront_radical,1,7.437392805464085,,,1,0.4585733711719513
1,stormfront_radical,1,6.418427979936022,,,1,0.45767834782600403
1,stormfront_radical,1,4.305424289974439,,,1,0.44851985573768616
1,stormfront_radical,1,4.6425311692450135,,,1,0.44349944591522217
1,stormfront_radical,1,6.9962796089445005,,,1,0.4531433582305908
1,stormfront_radical,1,7.335232118562369,,,1,0.4546824097633362
1,stormfront_radical,1,5.711546412476129,,,1,0.45658475160598755
1,stormfront_radical,1,6.1416369386648215,,,1,0.44393792748451233
1,stormfront_radical,1,5.419965252493635,,,1,0.4463103413581848
1,stormfront_radical,1,6.540614120735427,,,1,0.4497723877429962
1,stormfront_radical,1,4.841246995747697,,,1,0.4496326744556427
1,stormfront_radical,1,5.611114246437552,,,1,0.4581134021282196
1,stormfront_radical,1,6.303497395054029,,,1,0.46081846952438354
1,stormfront_radical,1,6.078336677074412,,,1,0.4560266137123108
1,stormfront_radical,1,6.272055583802783,,,1,0.4606737196445465
1,stormfront_radical,1,5.452447337847147,,,1,0.4531683027744293
1,stormfront_radical,1,6.711478858109307,,,1,0.44454503059387207
1,stormfront_radical,1,5.49094918509164,,,1,0.44716760516166687
1,stormfront_radical,1,5.648892710971911,,,1,0.4489268660545349
1,stormfront_radical,1,6.175658747035015,,,1,0.4516679346561432
1,stormfront_radical,1,4.425103794559088,,,1,0.4443705976009369
1,stormfront_radical,1,6.853629565187589,,,1,0.458135724067688
